,ORF Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SGD ID,Gene Name,Gene Length,Verified ORF?,Chromosome,Start,End,Strand,Description
1,YAL028W,199.2779241,1.87427309,0.151046538,12.36444699,4.07E-35,6.24E-34,S000000026,FRT2,1587,Verified,chrI,92900,94486,1,"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"
2,YAL048C,374.7082433,1.009831741,0.126859368,7.956392686,1.77E-15,1.07E-14,S000000046,GEM1,1989,Verified,chrI,52801,54789,-1,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases"
3,YAL061W,670.5931495,2.054071991,0.131939229,15.5518335,1.55E-54,4.56E-53,S000000057,BDH2,1254,Uncharacterized,chrI,33448,34701,1,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
4,YAL062W,440.3638831,1.331689193,0.158409789,8.404198117,4.31E-17,2.85E-16,S000000058,GDH3,1374,Verified,chrI,31567,32940,1,"NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"
5,YAL063C-A,17.64929825,1.117699829,0.340289958,3.234261063,0.001219579,0.002396232,S000028813,YAL063C-A,291,Uncharacterized,chrI,22395,22685,-1,Putative protein of unknown function; identified by expression profiling and mass spectrometry
6,YAL067C,94.18843367,1.166885495,0.227925752,5.126139668,2.96E-07,8.96E-07,S000000062,SEO1,1782,Verified,chrI,7235,9016,-1,Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
7,YAR020C,13.42914822,1.250512428,0.351130327,3.46718078,0.000525948,0.001094616,S000000073,PAU7,168,Verified,chrI,176856,177023,-1,"Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"
8,YAR029W,26.14058586,1.102053092,0.268416197,4.055735403,5.00E-05,0.000118579,S000000077,YAR029W,225,Uncharacterized,chrI,186321,186545,1,Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
9,YBL005W,1801.155899,1.738775002,0.09868529,17.61429792,1.91E-69,8.73E-68,S000000101,PDR3,2931,Verified,chrII,217470,220400,1,Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate
10,YBL006C,426.7013196,1.402987423,0.120185977,11.66279296,1.97E-31,2.65E-30,S000000102,LDB7,543,Verified,chrII,216587,217129,-1,"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions"
